"module name","version","licenses"
"node-releases@1.0.0-alpha.12","1.0.0-alpha.12","CC-BY-4.0"
"normalize-package-data@2.4.0","2.4.0","BSD-2-Clause"
"normalize-path@2.1.1","2.1.1","MIT"
"normalize-range@0.1.2","0.1.2","MIT"
"normalize-url@3.3.0","3.3.0","MIT"
"npm-run-path@2.0.2","2.0.2","MIT"
"nth-check@1.0.1","1.0.1","BSD*"
"null-check@1.0.0","1.0.0","MIT"
"num2fraction@1.2.2","1.2.2","MIT"
"number-is-nan@1.0.1","1.0.1","MIT"
"object-assign@3.0.0","3.0.0","MIT"
"object-assign@4.1.1","4.1.1","MIT"
"object-component@0.0.3","0.0.3","MIT*"
"object-copy@0.1.0","0.1.0","MIT"
"object-inspect@1.4.1","1.4.1","MIT"
"object-keys@1.0.12","1.0.12","MIT"
"object-visit@1.0.1","1.0.1","MIT"
"object.getownpropertydescriptors@2.0.3","2.0.3","MIT"
"object.omit@2.0.1","2.0.1","MIT"
"object.pick@1.3.0","1.3.0","MIT"
"object.values@1.0.4","1.0.4","MIT"
"on-finished@2.3.0","2.3.0","MIT"
"once@1.4.0","1.4.0","ISC"
"optimist@0.6.1","0.6.1","MIT*"
"optionator@0.8.2","0.8.2","MIT"
"ordered-read-streams@0.3.0","0.3.0","MIT"
